,,train_throughput,train_throughput,vram_mb,fwd_ms,bwd_ms
,,mean,std,mean,mean,mean
wt_levels,implementation,,,,,
1,cuda,918.0,1.5,3839.7,13.3,43.0
1,cuda_opt,1019.4,0.5,3613.6,10.0,39.4
1,cuda_opt2,1404.3,0.9,3613.6,10.0,22.1
1,reference,890.9,4.0,2808.4,24.9,46.6
2,cuda,742.4,0.9,4197.0,16.1,56.6
2,cuda_opt,847.0,0.2,3974.3,11.5,50.5
2,cuda_opt2,1179.0,0.7,3974.3,11.5,29.3
2,reference,693.0,1.4,3079.8,33.8,58.1
3,cuda,646.9,0.9,4538.5,18.5,66.9
3,cuda_opt,747.1,0.2,4385.0,13.2,59.0
3,cuda_opt2,1016.6,0.6,4385.0,12.9,36.5
3,reference,618.5,4.4,3155.4,38.8,64.3
4,cuda,527.8,0.2,4835.0,23.3,84.4
4,cuda_opt,616.4,0.2,4835.1,16.2,74.1
4,cuda_opt2,827.0,0.3,4835.1,15.9,47.9
4,reference,569.2,5.7,3185.5,43.4,68.6
